,Model Name,MAE,MSE,RMSE,R2 Score,Adjusted R2 Score
0,AdaBoost (Test),3607.74,20446220.77,4521.75,0.86,0.86
1,CatBoosting (Test),2486.04,18287197.8,4276.35,0.88,0.87
2,Gradient Boost (Test),2351.76,16567423.36,4070.31,0.89,0.89
3,XGBRegressor (Test),3143.63,25521983.67,5051.93,0.83,0.83
4,Decision Tree (Test),3497.29,50039964.16,7073.89,0.66,0.66
5,Random Forest (Test),2521.96,18883417.07,4345.51,0.87,0.87
6,K-Neighbors (Test),3611.36,33269021.11,5767.93,0.77,0.77
7,SVR (Test),8310.54,162529056.87,12748.69,-0.11,-0.11
8,ExtraTrees (Test),2384.9,21895552.44,4679.27,0.85,0.85
9,Bagging (Test),2721.29,20915781.71,4573.38,0.86,0.86
10,Ridge (Test),4084.12,33132380.77,5756.07,0.77,0.77
11,Lasso (Test),4080.7,33144945.72,5757.16,0.77,0.77
12,Linear (Test),4095.47,33270796.37,5768.08,0.77,0.77
